1,mission
2,imagine
3,statement
4,require
5,form
6,experience
7,baby
8,and
9,perform
10,truth
11,analysis
12,happen
13,find
14,range
15,outside
16,fish
17,possible
18,single
19,later
20,why
21,less
22,raise
23,point
24,know
25,wrong
26,rise
27,wind
28,down
29,dream
30,even
31,before
32,whole
33,art
34,face
35,reveal
36,property
37,role
38,difference
39,plan
40,hear
41,while
42,capital
43,state
44,task
45,indicate
46,understand
47,probably
48,western
49,way
50,long
51,environment
52,those
53,structure
54,many
55,management
56,drop
57,experience
58,management
59,million
60,hold
61,bit
62,my
63,of
64,forget
65,trip
66,media
67,type
68,baby
69,number
70,attack
71,war
72,give
73,at
74,special
75,voice
76,since
77,contain
78,despite
79,their
80,charge
81,marriage
82,him
83,behavior
84,leg
85,have
86,answer
87,class
88,professor
89,particularly
90,beyond
91,them
92,sound
93,offer
94,assume
95,week
96,TV
97,human
98,truth
99,policy
100,civil
