0,60,71
1,99,58
2,24,7
3,11,19
4,81,64
5,25,72
6,80,46
7,77,79
8,87,32
9,10,41
10,34,70
11,53,33
12,23,6
13,25,21
14,83,70
15,59,100
16,68,27
17,92,12
18,60,12
19,27,11
20,70,46
21,6,100
22,42,43
23,27,39
24,76,23
25,25,98
26,53,93
27,91,9
28,2,58
29,46,41
30,72,59
31,64,24
32,33,55
33,6,35
34,87,30
35,64,43
36,94,81
37,79,93
38,34,92
39,61,85
40,42,29
41,95,26
42,90,42
43,5,18
44,18,54
45,100,52
46,6,11
47,56,81
48,69,16
49,76,67
50,82,98
51,16,88
52,79,16
53,48,38
54,4,45
55,11,63
56,24,10
57,84,29
58,15,30
59,91,45
60,11,26
61,21,70
62,50,30
63,48,39
64,20,93
65,18,30
66,13,62
67,4,57
68,10,37
69,90,10
70,66,79
71,58,12
72,46,14
73,20,80
74,78,55
75,95,72
76,12,85
77,95,94
78,49,11
79,22,43
80,3,53
81,50,48
82,53,40
83,22,86
84,95,15
85,5,43
86,18,53
87,10,19
88,53,49
89,67,82
90,64,57
91,83,28
92,55,80
93,98,88
94,59,42
95,81,77
96,53,62
97,46,22
98,65,87
99,9,88
